codigo_dane,departamento,municipio,festival,descripcion,fecha_inicio,fecha_fin,status,fuente
70124,Sucre,Caimito,Fiestas de Caimito,,,,pendiente,Generado automáticamente
05895,Antioquia,Zaragoza,Fiestas de Zaragoza,,,,pendiente,Generado automáticamente
08078,Atlántico,Baranoa,Fiestas de Baranoa,,,,pendiente,Generado automáticamente
08137,Atlántico,Campo de La Cruz,Fiestas de Campo de La Cruz,,,,pendiente,Generado automáticamente
08141,Atlántico,Candelaria,Fiestas de Candelaria,,,,pendiente,Generado automáticamente
08296,Atlántico,Galapa,Fiestas de Galapa,,,,pendiente,Generado automáticamente
08372,Atlántico,Juan de Acosta,Fiestas de Juan de Acosta,,,,pendiente,Generado automáticamente
08421,Atlántico,Luruaco,Fiestas de Luruaco,,,,pendiente,Generado automáticamente
76845,Valle Del Cauca,Ulloa,Fiestas de Ulloa,,,,pendiente,Generado automáticamente
76869,Valle Del Cauca,Vijes,Fiestas de Vijes,,,,pendiente,Generado automáticamente
76890,Valle Del Cauca,Yotoco,Fiestas de Yotoco,,,,pendiente,Generado automáticamente
76892,Valle Del Cauca,Yumbo,Fiestas de Yumbo,,,,pendiente,Generado automáticamente
76895,Valle Del Cauca,Zarzal,Fiestas de Zarzal,,,,pendiente,Generado automáticamente
81065,Arauca,Arauquita,Fiestas de Arauquita,,,,pendiente,Generado automáticamente
81220,Arauca,Cravo Norte,Fiestas de Cravo Norte,,,,pendiente,Generado automáticamente
81300,Arauca,Fortul,Fiestas de Fortul,,,,pendiente,Generado automáticamente
81591,Arauca,Puerto Rondón,Fiestas de Puerto Rondón,,,,pendiente,Generado automáticamente
81736,Arauca,Saravena,Fiestas de Saravena,,,,pendiente,Generado automáticamente
81794,Arauca,Tame,Fiestas de Tame,,,,pendiente,Generado automáticamente
85010,Casanare,Aguazul,Fiestas de Aguazul,,,,pendiente,Generado automáticamente
85015,Casanare,Chameza,Fiestas de Chameza,,,,pendiente,Generado automáticamente
85125,Casanare,Hato Corozal,Fiestas de Hato Corozal,,,,pendiente,Generado automáticamente
85136,Casanare,La Salina,Fiestas de La Salina,,,,pendiente,Generado automáticamente
85139,Casanare,Maní,Fiestas de Maní,,,,pendiente,Generado automáticamente
85162,Casanare,Monterrey,Fiestas de Monterrey,,,,pendiente,Generado automáticamente
85230,Casanare,Orocué,Fiestas de Orocué,,,,pendiente,Generado automáticamente
85250,Casanare,Paz de Ariporo,Fiestas de Paz de Ariporo,,,,pendiente,Generado automáticamente
85263,Casanare,Pore,Fiestas de Pore,,,,pendiente,Generado automáticamente
85279,Casanare,Recetor,Fiestas de Recetor,,,,pendiente,Generado automáticamente
85300,Casanare,Sabanalarga,Fiestas de Sabanalarga,,,,pendiente,Generado automáticamente
85315,Casanare,Sácama,Fiestas de Sácama,,,,pendiente,Generado automáticamente
85325,Casanare,San Luis de Palenque,Fiestas de San Luis de Palenque,,,,pendiente,Generado automáticamente
85400,Casanare,Támara,Fiestas de Támara,,,,pendiente,Generado automáticamente
85410,Casanare,Tauramena,Fiestas de Tauramena,,,,pendiente,Generado automáticamente
85430,Casanare,Trinidad,Fiestas de Trinidad,,,,pendiente,Generado automáticamente
85440,Casanare,Villanueva,Fiestas de Villanueva,,,,pendiente,Generado automáticamente
86219,Putumayo,Colón,Fiestas de Colón,,,,pendiente,Generado automáticamente
86320,Putumayo,Orito,Fiestas de Orito,,,,pendiente,Generado automáticamente
86568,Putumayo,Puerto Asís,Fiestas de Puerto Asís,,,,pendiente,Generado automáticamente
86569,Putumayo,Puerto Caicedo,Fiestas de Puerto Caicedo,,,,pendiente,Generado automáticamente
86573,Putumayo,Leguízamo,Fiestas de Leguízamo,,,,pendiente,Generado automáticamente
86749,Putumayo,Sibundoy,Fiestas de Sibundoy,,,,pendiente,Generado automáticamente
86755,Putumayo,San Francisco,Fiestas de San Francisco,,,,pendiente,Generado automáticamente
86757,Putumayo,San Miguel,Fiestas de San Miguel,,,,pendiente,Generado automáticamente
86760,Putumayo,Santiago,Fiestas de Santiago,,,,pendiente,Generado automáticamente
86865,Putumayo,Valle del Guamuez,Fiestas de Valle del Guamuez,,,,pendiente,Generado automáticamente
86885,Putumayo,Villagarzón,Fiestas de Villagarzón,,,,pendiente,Generado automáticamente
08436,Atlántico,Manatí,Fiestas de Manatí,,,,pendiente,Generado automáticamente
08520,Atlántico,Palmar de Varela,Fiestas de Palmar de Varela,,,,pendiente,Generado automáticamente
08549,Atlántico,Piojó,Fiestas de Piojó,,,,pendiente,Generado automáticamente
08558,Atlántico,Polonuevo,Fiestas de Polonuevo,,,,pendiente,Generado automáticamente
08560,Atlántico,Ponedera,Fiestas de Ponedera,,,,pendiente,Generado automáticamente
08606,Atlántico,Repelón,Fiestas de Repelón,,,,pendiente,Generado automáticamente
08634,Atlántico,Sabanagrande,Fiestas de Sabanagrande,,,,pendiente,Generado automáticamente
08638,Atlántico,Sabanalarga,Fiestas de Sabanalarga,,,,pendiente,Generado automáticamente
08675,Atlántico,Santa Lucía,Fiestas de Santa Lucía,,,,pendiente,Generado automáticamente
08685,Atlántico,Santo Tomás,Fiestas de Santo Tomás,,,,pendiente,Generado automáticamente
08758,Atlántico,Soledad,Fiestas de Soledad,,,,pendiente,Generado automáticamente
08770,Atlántico,Suan,Fiestas de Suan,,,,pendiente,Generado automáticamente
08832,Atlántico,Tubará,Fiestas de Tubará,,,,pendiente,Generado automáticamente
08849,Atlántico,Usiacurí,Fiestas de Usiacurí,,,,pendiente,Generado automáticamente
D.C.,Generado automáticamente,Bogotá,11001,,,,pendiente,Por definir
13006,Bolívar,Achí,Fiestas de Achí,,,,pendiente,Generado automáticamente
13030,Bolívar,Altos del Rosario,Fiestas de Altos del Rosario,,,,pendiente,Generado automáticamente
13042,Bolívar,Arenal,Fiestas de Arenal,,,,pendiente,Generado automáticamente
13052,Bolívar,Arjona,Fiestas de Arjona,,,,pendiente,Generado automáticamente
13062,Bolívar,Arroyohondo,Fiestas de Arroyohondo,,,,pendiente,Generado automáticamente
13074,Bolívar,Barranco de Loba,Fiestas de Barranco de Loba,,,,pendiente,Generado automáticamente
13140,Bolívar,Calamar,Fiestas de Calamar,,,,pendiente,Generado automáticamente
13160,Bolívar,Cantagallo,Fiestas de Cantagallo,,,,pendiente,Generado automáticamente
13188,Bolívar,Cicuco,Fiestas de Cicuco,,,,pendiente,Generado automáticamente
13222,Bolívar,Clemencia,Fiestas de Clemencia,,,,pendiente,Generado automáticamente
13244,Bolívar,El Carmen de Bolívar,Fiestas de El Carmen de Bolívar,,,,pendiente,Generado automáticamente
13248,Bolívar,El Guamo,Fiestas de El Guamo,,,,pendiente,Generado automáticamente
13268,Bolívar,El Peñón,Fiestas de El Peñón,,,,pendiente,Generado automáticamente
13300,Bolívar,Hatillo de Loba,Fiestas de Hatillo de Loba,,,,pendiente,Generado automáticamente
13430,Bolívar,Magangué,Fiestas de Magangué,,,,pendiente,Generado automáticamente
13433,Bolívar,Mahates,Fiestas de Mahates,,,,pendiente,Generado automáticamente
13440,Bolívar,Margarita,Fiestas de Margarita,,,,pendiente,Generado automáticamente
13442,Bolívar,María La Baja,Fiestas de María La Baja,,,,pendiente,Generado automáticamente
13458,Bolívar,Montecristo,Fiestas de Montecristo,,,,pendiente,Generado automáticamente
13468,Bolívar,Mompós,Fiestas de Mompós,,,,pendiente,Generado automáticamente
13473,Bolívar,Morales,Fiestas de Morales,,,,pendiente,Generado automáticamente
13549,Bolívar,Pinillos,Fiestas de Pinillos,,,,pendiente,Generado automáticamente
13580,Bolívar,Regidor,Fiestas de Regidor,,,,pendiente,Generado automáticamente
13600,Bolívar,Río Viejo,Fiestas de Río Viejo,,,,pendiente,Generado automáticamente
13647,Bolívar,San Estanislao,Fiestas de San Estanislao,,,,pendiente,Generado automáticamente
13650,Bolívar,San Fernando,Fiestas de San Fernando,,,,pendiente,Generado automáticamente
13654,Bolívar,San Jacinto,Fiestas de San Jacinto,,,,pendiente,Generado automáticamente
13655,Bolívar,San Jacinto del Cauca,Fiestas de San Jacinto del Cauca,,,,pendiente,Generado automáticamente
13657,Bolívar,San Juan Nepomuceno,Fiestas de San Juan Nepomuceno,,,,pendiente,Generado automáticamente
13667,Bolívar,San Martín de Loba,Fiestas de San Martín de Loba,,,,pendiente,Generado automáticamente
13670,Bolívar,San Pablo,Fiestas de San Pablo,,,,pendiente,Generado automáticamente
13673,Bolívar,Santa Catalina,Fiestas de Santa Catalina,,,,pendiente,Generado automáticamente
13683,Bolívar,Santa Rosa,Fiestas de Santa Rosa,,,,pendiente,Generado automáticamente
13688,Bolívar,Santa Rosa del Sur,Fiestas de Santa Rosa del Sur,,,,pendiente,Generado automáticamente
13744,Bolívar,Simití,Fiestas de Simití,,,,pendiente,Generado automáticamente
13760,Bolívar,Soplaviento,Fiestas de Soplaviento,,,,pendiente,Generado automáticamente
13780,Bolívar,Talaigua Nuevo,Fiestas de Talaigua Nuevo,,,,pendiente,Generado automáticamente
13810,Bolívar,Tiquisio,Fiestas de Tiquisio,,,,pendiente,Generado automáticamente
13836,Bolívar,Turbaco,Fiestas de Turbaco,,,,pendiente,Generado automáticamente
13838,Bolívar,Turbaná,Fiestas de Turbaná,,,,pendiente,Generado automáticamente
13894,Bolívar,Zambrano,Fiestas de Zambrano,,,,pendiente,Generado automáticamente
15022,Boyacá,Almeida,Fiestas de Almeida,,,,pendiente,Generado automáticamente
15047,Boyacá,Aquitania,Fiestas de Aquitania,,,,pendiente,Generado automáticamente
15051,Boyacá,Arcabuco,Fiestas de Arcabuco,,,,pendiente,Generado automáticamente
15087,Boyacá,Belén,Fiestas de Belén,,,,pendiente,Generado automáticamente
15090,Boyacá,Berbeo,Fiestas de Berbeo,,,,pendiente,Generado automáticamente
15092,Boyacá,Betéitiva,Fiestas de Betéitiva,,,,pendiente,Generado automáticamente
15097,Boyacá,Boavita,Fiestas de Boavita,,,,pendiente,Generado automáticamente
15104,Boyacá,Boyacá,Fiestas de Boyacá,,,,pendiente,Generado automáticamente
15106,Boyacá,Briceño,Fiestas de Briceño,,,,pendiente,Generado automáticamente
15109,Boyacá,Buenavista,Fiestas de Buenavista,,,,pendiente,Generado automáticamente
15114,Boyacá,Busbanzá,Fiestas de Busbanzá,,,,pendiente,Generado automáticamente
15131,Boyacá,Caldas,Fiestas de Caldas,,,,pendiente,Generado automáticamente
15135,Boyacá,Campohermoso,Fiestas de Campohermoso,,,,pendiente,Generado automáticamente
15162,Boyacá,Cerinza,Fiestas de Cerinza,,,,pendiente,Generado automáticamente
15176,Boyacá,Chiquinquirá,Fiestas de Chiquinquirá,,,,pendiente,Generado automáticamente
15180,Boyacá,Chiscas,Fiestas de Chiscas,,,,pendiente,Generado automáticamente
15183,Boyacá,Chita,Fiestas de Chita,,,,pendiente,Generado automáticamente
15185,Boyacá,Chitaraque,Fiestas de Chitaraque,,,,pendiente,Generado automáticamente
15187,Boyacá,Chivatá,Fiestas de Chivatá,,,,pendiente,Generado automáticamente
15189,Boyacá,Ciénega,Fiestas de Ciénega,,,,pendiente,Generado automáticamente
15204,Boyacá,Cómbita,Fiestas de Cómbita,,,,pendiente,Generado automáticamente
15212,Boyacá,Coper,Fiestas de Coper,,,,pendiente,Generado automáticamente
15215,Boyacá,Corrales,Fiestas de Corrales,,,,pendiente,Generado automáticamente
15218,Boyacá,Covarachía,Fiestas de Covarachía,,,,pendiente,Generado automáticamente
15223,Boyacá,Cubará,Fiestas de Cubará,,,,pendiente,Generado automáticamente
15224,Boyacá,Cucaita,Fiestas de Cucaita,,,,pendiente,Generado automáticamente
15226,Boyacá,Cuítiva,Fiestas de Cuítiva,,,,pendiente,Generado automáticamente
15232,Boyacá,Chíquiza,Fiestas de Chíquiza,,,,pendiente,Generado automáticamente
15236,Boyacá,Chivor,Fiestas de Chivor,,,,pendiente,Generado automáticamente
15238,Boyacá,Duitama,Fiestas de Duitama,,,,pendiente,Generado automáticamente
15248,Boyacá,El Espino,Fiestas de El Espino,,,,pendiente,Generado automáticamente
15272,Boyacá,Firavitoba,Fiestas de Firavitoba,,,,pendiente,Generado automáticamente
15276,Boyacá,Floresta,Fiestas de Floresta,,,,pendiente,Generado automáticamente
15293,Boyacá,Gachantivá,Fiestas de Gachantivá,,,,pendiente,Generado automáticamente
15296,Boyacá,Gameza,Fiestas de Gameza,,,,pendiente,Generado automáticamente
15299,Boyacá,Garagoa,Fiestas de Garagoa,,,,pendiente,Generado automáticamente
15317,Boyacá,Guacamayas,Fiestas de Guacamayas,,,,pendiente,Generado automáticamente
15322,Boyacá,Guateque,Fiestas de Guateque,,,,pendiente,Generado automáticamente
15325,Boyacá,Guayatá,Fiestas de Guayatá,,,,pendiente,Generado automáticamente
15332,Boyacá,Güicán,Fiestas de Güicán,,,,pendiente,Generado automáticamente
15362,Boyacá,Iza,Fiestas de Iza,,,,pendiente,Generado automáticamente
15367,Boyacá,Jenesano,Fiestas de Jenesano,,,,pendiente,Generado automáticamente
15368,Boyacá,Jericó,Fiestas de Jericó,,,,pendiente,Generado automáticamente
15377,Boyacá,Labranzagrande,Fiestas de Labranzagrande,,,,pendiente,Generado automáticamente
15380,Boyacá,La Capilla,Fiestas de La Capilla,,,,pendiente,Generado automáticamente
15401,Boyacá,La Victoria,Fiestas de La Victoria,,,,pendiente,Generado automáticamente
15407,Boyacá,Villa de Leyva,Fiestas de Villa de Leyva,,,,pendiente,Generado automáticamente
15425,Boyacá,Macanal,Fiestas de Macanal,,,,pendiente,Generado automáticamente
15442,Boyacá,Maripí,Fiestas de Maripí,,,,pendiente,Generado automáticamente
15455,Boyacá,Miraflores,Fiestas de Miraflores,,,,pendiente,Generado automáticamente
15464,Boyacá,Mongua,Fiestas de Mongua,,,,pendiente,Generado automáticamente
15466,Boyacá,Monguí,Fiestas de Monguí,,,,pendiente,Generado automáticamente
15469,Boyacá,Moniquirá,Fiestas de Moniquirá,,,,pendiente,Generado automáticamente
15476,Boyacá,Motavita,Fiestas de Motavita,,,,pendiente,Generado automáticamente
15480,Boyacá,Muzo,Fiestas de Muzo,,,,pendiente,Generado automáticamente
15491,Boyacá,Nobsa,Fiestas de Nobsa,,,,pendiente,Generado automáticamente
13001,Bolívar,Cartagena,Fiestas de Cartagena,,,,pendiente,Generado automáticamente
15500,Boyacá,Oicatá,Fiestas de Oicatá,,,,pendiente,Generado automáticamente
15507,Boyacá,Otanche,Fiestas de Otanche,,,,pendiente,Generado automáticamente
15514,Boyacá,Páez,Fiestas de Páez,,,,pendiente,Generado automáticamente
15516,Boyacá,Paipa,Fiestas de Paipa,,,,pendiente,Generado automáticamente
15518,Boyacá,Pajarito,Fiestas de Pajarito,,,,pendiente,Generado automáticamente
15522,Boyacá,Panqueba,Fiestas de Panqueba,,,,pendiente,Generado automáticamente
15531,Boyacá,Pauna,Fiestas de Pauna,,,,pendiente,Generado automáticamente
15533,Boyacá,Paya,Fiestas de Paya,,,,pendiente,Generado automáticamente
15537,Boyacá,Paz de Río,Fiestas de Paz de Río,,,,pendiente,Generado automáticamente
15542,Boyacá,Pesca,Fiestas de Pesca,,,,pendiente,Generado automáticamente
15550,Boyacá,Pisba,Fiestas de Pisba,,,,pendiente,Generado automáticamente
15572,Boyacá,Puerto Boyacá,Fiestas de Puerto Boyacá,,,,pendiente,Generado automáticamente
15580,Boyacá,Quípama,Fiestas de Quípama,,,,pendiente,Generado automáticamente
15599,Boyacá,Ramiriquí,Fiestas de Ramiriquí,,,,pendiente,Generado automáticamente
15600,Boyacá,Ráquira,Fiestas de Ráquira,,,,pendiente,Generado automáticamente
15621,Boyacá,Rondón,Fiestas de Rondón,,,,pendiente,Generado automáticamente
15632,Boyacá,Saboyá,Fiestas de Saboyá,,,,pendiente,Generado automáticamente
15646,Boyacá,Samacá,Fiestas de Samacá,,,,pendiente,Generado automáticamente
15660,Boyacá,San Eduardo,Fiestas de San Eduardo,,,,pendiente,Generado automáticamente
15664,Boyacá,San José de Pare,Fiestas de San José de Pare,,,,pendiente,Generado automáticamente
15667,Boyacá,San Luis de Gaceno,Fiestas de San Luis de Gaceno,,,,pendiente,Generado automáticamente
15673,Boyacá,San Mateo,Fiestas de San Mateo,,,,pendiente,Generado automáticamente
15676,Boyacá,San Miguel de Sema,Fiestas de San Miguel de Sema,,,,pendiente,Generado automáticamente
15681,Boyacá,San Pablo de Borbur,Fiestas de San Pablo de Borbur,,,,pendiente,Generado automáticamente
15686,Boyacá,Santana,Fiestas de Santana,,,,pendiente,Generado automáticamente
15690,Boyacá,Santa María,Fiestas de Santa María,,,,pendiente,Generado automáticamente
15693,Boyacá,Santa Rosa de Viterbo,Fiestas de Santa Rosa de Viterbo,,,,pendiente,Generado automáticamente
15696,Boyacá,Santa Sofía,Fiestas de Santa Sofía,,,,pendiente,Generado automáticamente
15720,Boyacá,Sativanorte,Fiestas de Sativanorte,,,,pendiente,Generado automáticamente
15723,Boyacá,Sativasur,Fiestas de Sativasur,,,,pendiente,Generado automáticamente
15740,Boyacá,Siachoque,Fiestas de Siachoque,,,,pendiente,Generado automáticamente
15753,Boyacá,Soatá,Fiestas de Soatá,,,,pendiente,Generado automáticamente
15755,Boyacá,Socotá,Fiestas de Socotá,,,,pendiente,Generado automáticamente
15757,Boyacá,Socha,Fiestas de Socha,,,,pendiente,Generado automáticamente
15761,Boyacá,Somondoco,Fiestas de Somondoco,,,,pendiente,Generado automáticamente
15762,Boyacá,Sora,Fiestas de Sora,,,,pendiente,Generado automáticamente
15763,Boyacá,Sotaquirá,Fiestas de Sotaquirá,,,,pendiente,Generado automáticamente
15764,Boyacá,Soracá,Fiestas de Soracá,,,,pendiente,Generado automáticamente
15774,Boyacá,Susacón,Fiestas de Susacón,,,,pendiente,Generado automáticamente
15776,Boyacá,Sutamarchán,Fiestas de Sutamarchán,,,,pendiente,Generado automáticamente
15778,Boyacá,Sutatenza,Fiestas de Sutatenza,,,,pendiente,Generado automáticamente
15790,Boyacá,Tasco,Fiestas de Tasco,,,,pendiente,Generado automáticamente
15798,Boyacá,Tenza,Fiestas de Tenza,,,,pendiente,Generado automáticamente
15804,Boyacá,Tibaná,Fiestas de Tibaná,,,,pendiente,Generado automáticamente
15806,Boyacá,Tibasosa,Fiestas de Tibasosa,,,,pendiente,Generado automáticamente
15808,Boyacá,Tinjacá,Fiestas de Tinjacá,,,,pendiente,Generado automáticamente
15810,Boyacá,Tipacoque,Fiestas de Tipacoque,,,,pendiente,Generado automáticamente
15814,Boyacá,Toca,Fiestas de Toca,,,,pendiente,Generado automáticamente
15816,Boyacá,Togüí,Fiestas de Togüí,,,,pendiente,Generado automáticamente
15820,Boyacá,Tópaga,Fiestas de Tópaga,,,,pendiente,Generado automáticamente
15832,Boyacá,Tununguá,Fiestas de Tununguá,,,,pendiente,Generado automáticamente
15835,Boyacá,Turmequé,Fiestas de Turmequé,,,,pendiente,Generado automáticamente
15837,Boyacá,Tuta,Fiestas de Tuta,,,,pendiente,Generado automáticamente
15839,Boyacá,Tutazá,Fiestas de Tutazá,,,,pendiente,Generado automáticamente
15842,Boyacá,Umbita,Fiestas de Umbita,,,,pendiente,Generado automáticamente
15861,Boyacá,Ventaquemada,Fiestas de Ventaquemada,,,,pendiente,Generado automáticamente
15879,Boyacá,Viracachá,Fiestas de Viracachá,,,,pendiente,Generado automáticamente
15897,Boyacá,Zetaquira,Fiestas de Zetaquira,,,,pendiente,Generado automáticamente
17013,Caldas,Aguadas,Fiestas de Aguadas,,,,pendiente,Generado automáticamente
17042,Caldas,Anserma,Fiestas de Anserma,,,,pendiente,Generado automáticamente
17050,Caldas,Aranzazu,Fiestas de Aranzazu,,,,pendiente,Generado automáticamente
17174,Caldas,Chinchiná,Fiestas de Chinchiná,,,,pendiente,Generado automáticamente
17272,Caldas,Filadelfia,Fiestas de Filadelfia,,,,pendiente,Generado automáticamente
17380,Caldas,La Dorada,Fiestas de La Dorada,,,,pendiente,Generado automáticamente
17388,Caldas,La Merced,Fiestas de La Merced,,,,pendiente,Generado automáticamente
17433,Caldas,Manzanares,Fiestas de Manzanares,,,,pendiente,Generado automáticamente
17442,Caldas,Marmato,Fiestas de Marmato,,,,pendiente,Generado automáticamente
17444,Caldas,Marquetalia,Fiestas de Marquetalia,,,,pendiente,Generado automáticamente
17446,Caldas,Marulanda,Fiestas de Marulanda,,,,pendiente,Generado automáticamente
17486,Caldas,Neira,Fiestas de Neira,,,,pendiente,Generado automáticamente
17495,Caldas,Norcasia,Fiestas de Norcasia,,,,pendiente,Generado automáticamente
17513,Caldas,Pácora,Fiestas de Pácora,,,,pendiente,Generado automáticamente
17524,Caldas,Palestina,Fiestas de Palestina,,,,pendiente,Generado automáticamente
17541,Caldas,Pensilvania,Fiestas de Pensilvania,,,,pendiente,Generado automáticamente
17614,Caldas,Riosucio,Fiestas de Riosucio,,,,pendiente,Generado automáticamente
17616,Caldas,Risaralda,Fiestas de Risaralda,,,,pendiente,Generado automáticamente
17653,Caldas,Salamina,Fiestas de Salamina,,,,pendiente,Generado automáticamente
17662,Caldas,Samaná,Fiestas de Samaná,,,,pendiente,Generado automáticamente
17777,Caldas,Supía,Fiestas de Supía,,,,pendiente,Generado automáticamente
17867,Caldas,Victoria,Fiestas de Victoria,,,,pendiente,Generado automáticamente
17873,Caldas,Villamaría,Fiestas de Villamaría,,,,pendiente,Generado automáticamente
17877,Caldas,Viterbo,Fiestas de Viterbo,,,,pendiente,Generado automáticamente
18029,Caquetá,Albania,Fiestas de Albania,,,,pendiente,Generado automáticamente
18094,Caquetá,Belén de Los Andaquies,Fiestas de Belén de Los Andaquies,,,,pendiente,Generado automáticamente
18150,Caquetá,Cartagena del Chairá,Fiestas de Cartagena del Chairá,,,,pendiente,Generado automáticamente
18205,Caquetá,Curillo,Fiestas de Curillo,,,,pendiente,Generado automáticamente
18247,Caquetá,El Doncello,Fiestas de El Doncello,,,,pendiente,Generado automáticamente
18256,Caquetá,El Paujil,Fiestas de El Paujil,,,,pendiente,Generado automáticamente
18410,Caquetá,La Montañita,Fiestas de La Montañita,,,,pendiente,Generado automáticamente
18460,Caquetá,Milán,Fiestas de Milán,,,,pendiente,Generado automáticamente
18479,Caquetá,Morelia,Fiestas de Morelia,,,,pendiente,Generado automáticamente
18592,Caquetá,Puerto Rico,Fiestas de Puerto Rico,,,,pendiente,Generado automáticamente
18753,Caquetá,San Vicente del Caguán,Fiestas de San Vicente del Caguán,,,,pendiente,Generado automáticamente
18756,Caquetá,Solano,Fiestas de Solano,,,,pendiente,Generado automáticamente
18785,Caquetá,Solita,Fiestas de Solita,,,,pendiente,Generado automáticamente
18860,Caquetá,Valparaíso,Fiestas de Valparaíso,,,,pendiente,Generado automáticamente
19022,Cauca,Almaguer,Fiestas de Almaguer,,,,pendiente,Generado automáticamente
19050,Cauca,Argelia,Fiestas de Argelia,,,,pendiente,Generado automáticamente
19075,Cauca,Balboa,Fiestas de Balboa,,,,pendiente,Generado automáticamente
19100,Cauca,Bolívar,Fiestas de Bolívar,,,,pendiente,Generado automáticamente
19110,Cauca,Buenos Aires,Fiestas de Buenos Aires,,,,pendiente,Generado automáticamente
19130,Cauca,Cajibío,Fiestas de Cajibío,,,,pendiente,Generado automáticamente
19137,Cauca,Caldono,Fiestas de Caldono,,,,pendiente,Generado automáticamente
19142,Cauca,Caloto,Fiestas de Caloto,,,,pendiente,Generado automáticamente
19212,Cauca,Corinto,Fiestas de Corinto,,,,pendiente,Generado automáticamente
19256,Cauca,El Tambo,Fiestas de El Tambo,,,,pendiente,Generado automáticamente
19290,Cauca,Florencia,Fiestas de Florencia,,,,pendiente,Generado automáticamente
19318,Cauca,Guapi,Fiestas de Guapi,,,,pendiente,Generado automáticamente
19355,Cauca,Inzá,Fiestas de Inzá,,,,pendiente,Generado automáticamente
19364,Cauca,Jambaló,Fiestas de Jambaló,,,,pendiente,Generado automáticamente
19392,Cauca,La Sierra,Fiestas de La Sierra,,,,pendiente,Generado automáticamente
19418,Cauca,López,Fiestas de López,,,,pendiente,Generado automáticamente
19450,Cauca,Mercaderes,Fiestas de Mercaderes,,,,pendiente,Generado automáticamente
19455,Cauca,Miranda,Fiestas de Miranda,,,,pendiente,Generado automáticamente
17001,Caldas,Manizales,Fiestas de Manizales,,,,pendiente,Generado automáticamente
19513,Cauca,Padilla,Fiestas de Padilla,,,,pendiente,Generado automáticamente
19517,Cauca,Paez,Fiestas de Paez,,,,pendiente,Generado automáticamente
19532,Cauca,Patía,Fiestas de Patía,,,,pendiente,Generado automáticamente
19533,Cauca,Piamonte,Fiestas de Piamonte,,,,pendiente,Generado automáticamente
19548,Cauca,Piendamó,Fiestas de Piendamó,,,,pendiente,Generado automáticamente
19573,Cauca,Puerto Tejada,Fiestas de Puerto Tejada,,,,pendiente,Generado automáticamente
19585,Cauca,Puracé,Fiestas de Puracé,,,,pendiente,Generado automáticamente
19622,Cauca,Rosas,Fiestas de Rosas,,,,pendiente,Generado automáticamente
19698,Cauca,Santander de Quilichao,Fiestas de Santander de Quilichao,,,,pendiente,Generado automáticamente
19701,Cauca,Santa Rosa,Fiestas de Santa Rosa,,,,pendiente,Generado automáticamente
